,Total Distance,Total Temps,Total Kcal,Moyenne Km/h,,,
,"203,07",20:47:50,13564,"9,68",,,
Date,Km,Temps,kcal,Km/h,Commentaires ,,
02/12/2023,2,0:15:00,122,"8,00",,,01:00:00
04/12/2023,5,0:33:38,340,"8,92",,,01:00:00
06/12/23,"3,01",0:21:29,193,"8,41",,,01:00:00
08/12/23,"4,04",0:26:10,283,"9,26",,,01:00:00
12/12/23,"2,93",00:20:22,193,"8,63",,,01:00:00
13/12/23,"2,95",0:20:00,194,"8,85",,,01:00:00
14/12/23,"3,3",0:20:00,247,"9,90",,,01:00:00
16/12/2023,"3,5",0:20:00,257,"10,50",,,01:00:00
18/12/23,"5,2",0:30:00,379,"10,40","J'ai donné quasi le max (85%) de moi même, mal au cœur, souffle difficile mais jambes ok",,01:00:00
19/12/23,5,0:30:00,349,"10,00","12Km/h trop compliqué à tenir, 11Km/h Ok.  Mal au cœur, donné 80%",,01:00:00
21/12/2023,"1,5",0:09:15,111,"9,73","Douleur au tendon d'achille, préfère ne pas insister",,01:00:00
Blessure aux tendons d'Achille/Malade,,,,,,,01:00:00
12/01/2024,"3,1",0:20:00,215,"9,30","Reprise sans douleur, juste de la difficulté au niveau du coeur, ça devrait revenir vite",,01:00:00
17/01/2024,"4,6",00:30:00,422,"9,20","Mon max sur 30 minutes, je compte reprendre sérieusement à partir d'aujourd'hui (aucune douleur à la cheville). Nouvelle montre Garmin Instinct 2 Solar",,01:00:00
29/01/2024,10,1:02:38,709,"9,58","1er jour entrainement Saïtama plutôt tranquille, fatigué surtout au noveau des jambes, je redoute un peu les courbatures demain.",,01:00:00
12/02/2024,"4,71",0:30:14,380,"9,35","reprise tranquille, pas d'effort trop grand. 5min de marche rapide, 20min de course puis 5min de marche rapide.",,01:00:00
14/02/2024,"6,17",0:40:01,516,"9,25","Tranquille, sans accros.",,01:00:00
17/02/2024,"8,07",0:49:49,577,"9,72","J'augmente de 10 minutes à chaque fois et ça se passe très bien, je récupère de + en + vite.",,01:00:00
20/02/2024,"9,87",0:59:51,772,"9,89","Nouvelle objectif atteint, on progresse tranquillement",,01:00:00
22/02/2024,"8,21",0:49:52,641,"9,88","Petit ralentissement dans la progression, pas assez reposé",,01:00:00
24/02/2024,"11,83",1:09:47,907,"10,17",Cardio ok mais les jambes commencent à avoir du mal à suivre,,01:00:00
26/02/2024,"4,88",0:29:55,348,"9,79","On commence à courrir à 11km/h, pour les 20min de courses ça c'est très bien passé",,01:00:00
28/02/2024,"6,62",0:39:55,495,"9,95","plutôt simple, le cardio a + de mal que les jambes à 11km/h sur 30min",,01:00:00
01/03/2024,"7,96",0:40:01,601,"11,94","J'ai mal dormi, ce qui fait que j'ai eu beaucoup de mal à tenir la cadence mais j'ai quand même réussi (je n'enregistre plus les 5 minutes d'échauffement au début et à la fin)",,01:00:00
03/03/2024,"10,01",0:52:02,751,"11,54","Je comptai faire 21,1km mais j'avais pas mangé avant/ grosse envie de caca mdr. Du coup je me suis arrêté à 10km mais tranquille niveau cardio et jambes.",,01:00:00
Blessure au pied/Engine,,,,,,,01:00:00
